tc,perishLimit,p,sf,allowInventoryHoldingAtDemandLocation,removeCycles,objValue
2,0,2,1,1,1,800.000000
2,0,2,2,1,1,800.000000
2,0,3,0,1,1,800.000000
2,0,3,1,1,1,800.000000
2,0,3,2,1,1,800.000000
2,3,0,0,1,1,800.000000
2,3,0,1,1,1,800.000000
2,3,0,2,1,1,800.000000
2,3,1,0,1,1,800.000000
2,3,1,1,1,1,800.000000
2,3,1,2,1,1,800.000000
2,3,2,0,1,1,800.000000
2,3,2,1,1,1,800.000000
2,3,2,2,1,1,800.000000
2,3,3,0,1,1,800.000000
2,3,3,1,1,1,800.000000
2,3,3,2,1,1,800.000000
3,0,0,0,0,0,800.000000
3,0,0,1,0,0,800.000000
3,0,0,2,0,0,800.000000
3,0,1,0,0,0,800.000000
3,0,1,1,0,0,800.000000
3,0,1,2,0,0,800.000000
3,0,2,0,0,0,800.000000
3,0,2,1,0,0,800.000000
3,0,2,2,0,0,800.000000
3,0,3,0,0,0,800.000000
3,0,3,1,0,0,800.000000
3,0,3,2,0,0,800.000000
3,3,0,0,0,0,800.000000
3,3,0,1,0,0,800.000000
3,3,0,2,0,0,800.000000
3,3,1,0,0,0,800.000000
3,3,1,1,0,0,800.000000
3,3,1,2,0,0,800.000000
3,3,2,0,0,0,800.000000
3,3,2,1,0,0,800.000000
3,3,2,2,0,0,800.000000
3,3,3,0,0,0,800.000000
3,3,3,1,0,0,800.000000
3,3,3,2,0,0,800.000000
3,0,0,0,1,1,800.000000
3,0,0,1,1,1,800.000000
3,0,0,2,1,1,800.000000
3,0,1,0,1,1,800.000000
3,0,1,1,1,1,800.000000
3,0,1,2,1,1,800.000000
3,0,2,0,1,1,800.000000
3,0,2,1,1,1,800.000000
3,0,2,2,1,1,800.000000
3,0,3,0,1,1,800.000000
3,0,3,1,1,1,800.000000
3,0,3,2,1,1,800.000000
3,3,0,0,1,1,800.000000
3,3,0,1,1,1,800.000000
3,3,0,2,1,1,800.000000
3,3,1,0,1,1,800.000000
3,3,1,1,1,1,800.000000
3,3,1,2,1,1,800.000000
3,3,2,0,1,1,800.000000
3,3,2,1,1,1,800.000000
3,3,2,2,1,1,800.000000
3,3,3,0,1,1,800.000000
3,3,3,1,1,1,800.000000
3,3,3,2,1,1,800.000000
4,0,0,0,0,0,0.000000
4,0,0,1,0,0,0.000000
4,0,0,2,0,0,0.000000
4,0,1,0,0,0,0.000000
4,0,1,1,0,0,0.000000
4,0,1,2,0,0,0.000000
4,0,2,0,0,0,0.000000
4,0,2,1,0,0,0.000000
4,0,2,2,0,0,0.000000
4,0,3,0,0,0,0.000000
4,0,3,1,0,0,0.000000
4,0,3,2,0,0,0.000000
4,3,0,0,0,0,0.000000
4,3,0,1,0,0,0.000000
4,3,0,2,0,0,0.000000
4,3,1,0,0,0,0.000000
4,3,1,1,0,0,0.000000
4,3,1,2,0,0,0.000000
4,3,2,0,0,0,0.000000
4,3,2,1,0,0,0.000000
4,3,2,2,0,0,0.000000
4,3,3,0,0,0,0.000000
4,3,3,1,0,0,0.000000
4,3,3,2,0,0,0.000000
4,0,0,0,1,1,0.000000
4,0,0,1,1,1,0.000000
4,0,0,2,1,1,0.000000
4,0,1,0,1,1,0.000000
4,0,1,1,1,1,0.000000
4,0,1,2,1,1,0.000000
4,0,2,0,1,1,0.000000
4,0,2,1,1,1,0.000000
4,0,2,2,1,1,0.000000
4,0,3,0,1,1,0.000000
4,0,3,1,1,1,0.000000
4,0,3,2,1,1,0.000000
4,3,0,0,1,1,0.000000
4,3,0,1,1,1,0.000000
4,3,0,2,1,1,0.000000
4,3,1,0,1,1,0.000000
4,3,1,1,1,1,0.000000
4,3,1,2,1,1,0.000000
4,3,2,0,1,1,0.000000
4,3,2,1,1,1,0.000000
4,3,2,2,1,1,0.000000
4,3,3,0,1,1,0.000000
4,3,3,1,1,1,0.000000
4,3,3,2,1,1,0.000000
5,0,0,0,0,0,0.000000
5,0,0,1,0,0,0.000000
5,0,0,2,0,0,0.000000
5,0,1,0,0,0,0.000000
5,0,1,1,0,0,0.000000
5,0,1,2,0,0,0.000000
5,0,2,0,0,0,0.000000
5,0,2,1,0,0,0.000000
5,0,2,2,0,0,0.000000
5,0,3,0,0,0,0.000000
5,0,3,1,0,0,0.000000
5,0,3,2,0,0,0.000000
5,3,0,0,0,0,0.000000
5,3,0,1,0,0,0.000000
5,3,0,2,0,0,0.000000
5,3,1,0,0,0,0.000000
5,3,1,1,0,0,0.000000
5,3,1,2,0,0,0.000000
5,3,2,0,0,0,0.000000
5,3,2,1,0,0,0.000000
5,3,2,2,0,0,0.000000
5,3,3,0,0,0,0.000000
5,3,3,1,0,0,0.000000
5,3,3,2,0,0,0.000000
5,0,0,0,1,1,0.000000
5,0,0,1,1,1,0.000000
5,0,0,2,1,1,0.000000
5,0,1,0,1,1,0.000000
5,0,1,1,1,1,0.000000
5,0,1,2,1,1,0.000000
5,0,2,0,1,1,0.000000
5,0,2,1,1,1,0.000000
5,0,2,2,1,1,0.000000
5,0,3,0,1,1,0.000000
5,0,3,1,1,1,0.000000
5,0,3,2,1,1,0.000000
5,3,0,0,1,1,0.000000
5,3,0,1,1,1,0.000000
5,3,0,2,1,1,0.000000
5,3,1,0,1,1,0.000000
5,3,1,1,1,1,0.000000
5,3,1,2,1,1,0.000000
5,3,2,0,1,1,0.000000
5,3,2,1,1,1,0.000000
5,3,2,2,1,1,0.000000
5,3,3,0,1,1,0.000000
5,3,3,1,1,1,0.000000
5,3,3,2,1,1,0.000000
6,0,0,0,0,0,227.075012
6,0,0,1,0,0,227.075012
6,0,0,2,0,0,227.075012
6,0,1,0,0,0,215.075012
6,0,1,1,0,0,215.075012
6,0,1,2,0,0,215.075012
6,0,2,0,0,0,227.075012
6,0,2,1,0,0,227.075012
6,0,2,2,0,0,227.075012
6,0,3,0,0,0,215.075012
6,0,3,1,0,0,215.075012
6,0,3,2,0,0,215.075012
6,3,0,0,0,0,367.033569
6,3,0,1,0,0,367.033569
6,3,0,2,0,0,367.033569
6,3,1,0,0,0,355.033569
6,3,1,1,0,0,355.033569
6,3,1,2,0,0,355.033569
6,3,2,0,0,0,367.033569
6,3,2,1,0,0,367.033569
6,3,2,2,0,0,367.033569
6,3,3,0,0,0,355.033569
6,3,3,1,0,0,355.033569
6,3,3,2,0,0,355.033569
6,0,0,0,1,1,369.640747
6,0,0,1,1,1,369.640747
6,0,0,2,1,1,369.640747
6,0,1,0,1,1,358.640717
6,0,1,1,1,1,358.640717
6,0,1,2,1,1,358.640717
6,0,2,0,1,1,369.640747
6,0,2,1,1,1,369.640747
6,0,2,2,1,1,369.640747
6,0,3,0,1,1,358.640717
6,0,3,1,1,1,358.640717
6,0,3,2,1,1,358.640717
6,3,0,0,1,1,369.641205
6,3,0,1,1,1,369.641205
6,3,0,2,1,1,369.641205
6,3,1,0,1,1,358.641174
6,3,1,1,1,1,358.641174
6,3,1,2,1,1,358.641174
6,3,2,0,1,1,369.641205
6,3,2,1,1,1,369.641205
6,3,2,2,1,1,369.641205
6,3,3,0,1,1,358.641174
6,3,3,1,1,1,358.641174
6,3,3,2,1,1,358.641174
